,full_name,total_words
509,ASGARDIAN MAN,14.0
510,GAMORA'S MOTHER,14.0
511,ELECTRONIC VOICE-OVER,14.0
512,REPORTER #3,12.0
513,KID IN THE BACKSEAT,12.0
514,PA,12.0
515,JOTUN SENTRY,12.0
516,HYDRA LIEUTENANT,12.0
517,MANDY,12.0
518,ANTIQUE STORE OWNER,12.0
519,KIDS IN USO AUDIENCE,12.0
520,NEWS REPORTER #3,12.0
521,GOVERNMENT OFFICIAL #1,12.0
522,HEATHER,12.0
523,KURSE,12.0
524,FEMALE NURSE,12.0
525,SMITHSONIAN GUARD,12.0
526,SECURITY CHIEF,12.0
527,CHARLIE-27,12.0
528,DELI CLERK,12.0
529,RESIDENT 1,12.0
530,ROBBER 2,12.0
531,"BRIAN ""TINY"" MCKEEVER",12.0
532,DODC CENTRAL,12.0
533,STUDENTS,12.0
534,"VERS, BRON-CHAR, KORATH, MINN-ERVA AND ATT-LASS",12.0
535,SKRULL TECH,12.0
536,MAIDEN,12.0
537,A1 HULK,12.0
538,JOTUN,10.0
539,YOUNG DOCTOR,10.0
540,HELICARRIER INTERCOM,10.0
541,YOUNG SHIELD PILOT,10.0
542,FEMALE CITIZEN,10.0
543,BOTH,10.0
544,NAVID,10.0
545,SHIELD AGENT #1,10.0
546,KLAUE'S MERCENARY,10.0
547,WORLD HUB TECH,10.0
548,CUSTODIAN,10.0
549,DODC DRIVER,10.0
550,SCRAPPER,10.0
551,DRILL INSTRUCTOR,10.0
552,RAMIREZ,8.0
553,PRETTY MUCH EVERYONE IN THE CROWD,8.0
554,WOMAN IN CROWD,8.0
555,PERSON,8.0
556,VOICE FROM EARPIECE,8.0
557,RANDOM WOMAN,8.0
558,SSR DOCTOR,8.0
559,ARMY HECKLER#2,8.0
560,ARMY HECKLER#3,8.0
561,ARMY HECKLER#4,8.0
562,MAN#1,8.0
563,MAN#2,8.0
564,JAQUES DERNIER,8.0
565,NASA SCIENTIST,8.0
566,COUNCILMAN 2,8.0
567,NEWS REPORTER #2,8.0
568,MANDARIN LOOK-OUT,8.0
569,FRENCH PIRATE #2,8.0
570,JACK ROLLINS,8.0
571,PYM TECH EMPLOYEE,8.0
572,GSG-9 DRIVER,8.0
573,MAINFRAME,8.0
574,911 OPERATOR,8.0
575,TOURIST,8.0
576,SPANISH TEACHER,8.0
577,ASGARDIAN WOMAN,8.0
578,BORDER TRIBE COMMANDER,8.0
579,BUCKY,8.0
580,SKRULL,8.0
581,KHALID,6.0
582,IRON MAN KID,6.0
583,MAN IN CROWD,6.0
584,SOMEONE IN BACKGROUND,6.0
585,GOLDSTEIN,6.0
586,SECOND GUARD,6.0
587,USO GIRL,6.0
588,WEASELLY THUG,6.0
589,SHIELD AGENT #3,6.0
590,CAB DRIVER,6.0
591,MERCENARY #2,6.0
592,PROPRIETOR,6.0
593,HALF-NUT,6.0
594,WEIRD OLD MAN,6.0
595,GRANDPA QUILL,6.0
596,RESIDENT 2,6.0
597,JASON/BETTY,6.0
598,"ELDERS, WARRIORS, DORA",6.0
599,DRIVER,6.0
600,OLDER MAN,6.0
601,PEOPLE,4.0
602,VOLSTAGG / HOGUN,4.0
603,JOTUN VOICE,4.0
604,TOWNIE,4.0
605,HYDRA TECHNICIANS,4.0
606,CORPORAL,4.0
607,MAINTENANCE GUY,4.0
608,HAPPY'S NURSE,4.0
609,ELK RIDGE,4.0
610,DOCTOR #1,4.0
611,STRIKE AGENT #2,4.0
612,PYM TECH GATE GUARD,4.0
613,POOL BBQ DAD,4.0
614,JOSEF / SUPER SOLDIER #1,4.0
615,SOVEREIGN PILOT,4.0
616,SCURRILOUS RAVAGER,4.0
617,CHEERLEADER,4.0
618,ROBBER 3,4.0
619,MALE VOICE,4.0
620,FRIEND,4.0
621,FBI AGENT 2,4.0
622,DECATHLON TEAM,4.0
623,ACTOR SIF,4.0
624,ASGARDIAN CITIZENS,4.0
625,CARGO TRUCK MILITANT,4.0
626,NIGERIAN WOMAN,4.0
627,SOUTH AFRICAN TOUGH,4.0
628,CIA AGENT,4.0
629,BORDER TRIBE,4.0
630,WAKANDAN CHILD,4.0
631,WAKANDAN CHILDREN,4.0
632,FURY AND MARIA,4.0
633,DUBAI BEAUTY #1,2.0
634,AGENT DELANCEY,2.0
635,HYDRA GUARDS,2.0
636,JACQUES DERNIER,2.0
637,ROSE HILL CHRISTMAS TREE SHOPPER,2.0
638,THOMAS RICHARDS,2.0
639,DURAND,2.0
640,STRIKE AGENT #1,2.0
641,STRIKE AGENT #3,2.0
642,BALLET INSTRUCTOR,2.0
643,MERCENARY,2.0
644,TALL RAVAGER,2.0
645,ANNIE,2.0
646,TENT KIDS,2.0
647,LIZ/NED,2.0
648,THOR / BANNER,2.0
649,SHURI/NAKIA,2.0
650,SOH-LARR,2.0
651,MUFFLED VOICE,2.0
